lokacija
"Slovenska Bistrica, ÄŚreĹˇnjevec"
"Pesnica pri Mariboru, Pesnica pri Mariboru"
"Ljubljana ViÄŤ Rudnik, ViÄŤ - Dolgi most"
"Trzin, Trzin"
"Vojnik, Nova Cerkev"
"HoÄŤe, HoÄŤko Pohorje"
"Prevalje, Prevalje"
"Ĺ˝uĹľemberk, Ĺ˝uĹľemberk"
"Dol pri Ljubljani, Dolsko"
"Kranj, Kranj"
"BreĹľice, PirĹˇenbreg"
"Kamnik, Kamnik"
"Hajdina, GereÄŤja vas"
"Medvode, Spodnje PirniÄŤe"
"Ĺ˝alec, Ĺ˝alec"
"Ljubljana Ĺ iĹˇka, ViĹľmarje"
"Ljubljana Center, Center"
"Vrhnika, Vrhnika"
"RogaĹˇka Slatina, RogaĹˇka Slatina"
"Izola, Korte"
"Ljubljana Moste Polje, Polje"
"Ljubljana ViÄŤ Rudnik, RoĹľna dolina"
"Novo mesto, Novo mesto"
"Vrhnika, Vrhnika"
"Novo mesto, Novo mesto"
