cas,datum
2023-08-19T00:40:19+02:00,19.08.2023.
2023-08-19T00:40:19+02:00,19.08.2023.
2023-08-19T00:40:14+02:00,19.08.2023.
2023-08-19T00:40:11+02:00,19.08.2023.
2023-08-19T00:40:10+02:00,19.08.2023.
2023-08-19T00:40:10+02:00,19.08.2023.
2023-08-19T00:40:10+02:00,19.08.2023.
2023-08-19T00:40:09+02:00,19.08.2023.
2023-08-19T00:40:09+02:00,19.08.2023.
2023-08-19T00:40:08+02:00,19.08.2023.
2023-08-19T00:40:08+02:00,19.08.2023.
2023-08-19T00:40:07+02:00,19.08.2023.
2023-08-19T00:40:06+02:00,19.08.2023.
2023-08-19T00:40:02+02:00,19.08.2023.
2023-08-18T18:30:59+02:00,18.08.2023.
2023-08-18T18:30:36+02:00,18.08.2023.
2023-08-18T18:30:13+02:00,18.08.2023.
2023-08-18T18:29:23+02:00,18.08.2023.
2023-08-18T18:27:31+02:00,18.08.2023.
2023-08-18T18:04:01+02:00,18.08.2023.
2023-08-18T17:02:44+02:00,18.08.2023.
2023-08-18T16:57:35+02:00,18.08.2023.
2023-08-18T15:20:38+02:00,18.08.2023.
2023-08-18T13:26:24+02:00,18.08.2023.
2023-08-18T12:47:23+02:00,18.08.2023.
2023-08-18T12:46:09+02:00,18.08.2023.
2023-08-18T10:42:04+02:00,18.08.2023.
2023-08-18T10:08:16+02:00,18.08.2023.
2023-08-18T08:56:33+02:00,18.08.2023.
2023-08-18T08:09:28+02:00,18.08.2023.
2023-08-18T07:50:17+02:00,18.08.2023.
2023-08-17T22:05:29+02:00,17.08.2023.
2023-08-17T21:09:11+02:00,17.08.2023.
2023-08-17T20:43:41+02:00,17.08.2023.
2023-08-17T19:26:24+02:00,17.08.2023.
2023-08-17T18:34:03+02:00,17.08.2023.
2023-08-17T18:20:58+02:00,17.08.2023.
2023-08-17T17:33:04+02:00,17.08.2023.
2023-08-17T16:50:08+02:00,17.08.2023.
2023-08-17T16:18:28+02:00,17.08.2023.
2023-08-17T15:33:21+02:00,17.08.2023.
2023-08-17T15:14:28+02:00,17.08.2023.
2023-08-17T14:48:49+02:00,17.08.2023.
2023-08-17T13:30:06+02:00,17.08.2023.
2023-08-17T12:24:04+02:00,17.08.2023.
2023-08-17T10:53:51+02:00,17.08.2023.
2023-08-17T10:53:01+02:00,17.08.2023.
2023-08-17T10:08:16+02:00,17.08.2023.
2023-08-17T09:56:56+02:00,17.08.2023.
2023-08-17T09:34:29+02:00,17.08.2023.
