cena
1
20
40
15
0
85
40
350
4
150
280
70
200
130
40
652
6
1
19
3
30
50
10
1
20
40
15
0
85
40
350
4
150
280
70
200
130
40
652
6
1
19
3
30
50
10
3
30
25
10
40
7
4
2
150
30
10
250
130
650
5
7
1
100
110
1
25
10
55
170
19
10
49
0
20
30
8
9
9
6
6
4
7
8
6
5
7
6
6
6
7
4
4
12
6
12
21
23
19
21
8
4
6
5
4
7
5
4
5
5
4
6
5
17
7
3
21
7
8
21
8
6
8
21
8
8
5
5
5
7
8
22
14
6
20
15
8
10
80
5
270
60
50
50
170
20
390
499
700
20
25
519
190
8
370
20
780
20
50
28
80
24
450
340
170
50
79
206
46
